stage_name,level,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
"مرحله 6",6,2,"کدام یک از مواد غذایی زیر قند خون را سریع بالا می برد؟","الف) گوشت","ب) سبزیجات","ج) عسل","د) پنیر","C","عسل حاوی قند ساده است و سریع قند خون را بالا می‌برد"
"مرحله 6",6,2,"چند بار در روز باید قند خون را اندازه گیری کرد؟","الف) یک بار","ب) دو بار","ج) بر اساس توصیه پزشک","د) هر ساعت","C","تعداد اندازه‌گیری قند خون باید بر اساس توصیه پزشک باشد"
"مرحله 10",10,4,"چه راه‌های تغذیه‌ای برای کنترل دیابت نوع 2 صحیح نیست؟","الف) افزایش دادن مصرف الیاف غذایی","ب) افزایش دادن مدت زمان ورزش روزانه","ج) اندازه گیری روزانه قند خون با دستگاه گلوکومتر","د) کاهش مصرف روزانه","A","افزایش مصرف الیاف غذایی برای کنترل دیابت مفید است"
"مرحله 10",10,4,"چه سطحی از قند خون در حالت ناشتا بر حسب میلی گرم در دسی لیتر دیابت را نشان می‌دهد؟","الف) بیشتر از 126","ب) بیشتر از 100 تا 126","ج) 100 تا 126","د) بیشتر از 200","A","قند خون ناشتا بیشتر از 126 میلی‌گرم در دسی‌لیتر نشانه دیابت است"
"مرحله 10",10,4,"کدام یک از موارد غذایی زیر شاخص گلایسمی پایین‌تری دارد؟","الف) جو پرک","ب) خیار","ج) سیب زمینی","د) آناناس","B","خیار دارای شاخص گلایسمی بسیار پایین است"
"مرحله 10",10,4,"بیماری به عنوان کدام یک از موارد زیر تعریف می‌شود؟","الف) افزایش قابل توجه در سطح قند خون","ب) خیلی کم بودن سطح قند خون","ج) بیماری به عنوان کدام یک از موارد زیر تعریف می‌شود؟","د) تغییر نمی‌کند","A","دیابت با افزایش قابل توجه در سطح قند خون تعریف می‌شود"
"مرحله 10",10,4,"بیماری به عنوان کدام یک از موارد زیر تعریف می‌شود؟","الف) افزایش قابل توجه در سطح قند خون","ب) خیلی کم بودن سطح قند خون","ج) بیماری به عنوان کدام یک از موارد زیر تعریف می‌شود؟","د) تغییر نمی‌کند","A","دیابت با افزایش قابل توجه در سطح قند خون تعریف می‌شود"
"مرحله 10",10,4,"کدام نشانه از افراد دیابتی برای پیگیری بیماری های قلبی عروق مهم است؟","الف) قند خون","ب) بیماری های قلبی عروق","ج) کلیه قند خون","د) کلیه قند خون","B","پیگیری بیماری‌های قلبی عروقی در دیابتی‌ها بسیار مهم است"
"مرحله 10",10,4,"انجام فعالیت بدنی به چه میزان و شدت در پیشگیری از دیابت موثر است؟","الف) 75 دقیقه در هفته، با شدت کم","ب) 150 دقیقه در هفته، با شدت متوسط","ج) 75 دقیقه در روز، با شدت متوسط","د) 100 دقیقه در هفته، با شدت کم","B","150 دقیقه فعالیت بدنی با شدت متوسط در هفته توصیه می‌شود"
"مرحله 11",11,4,"در نوجوانان مبتلا به دیابت نوع 2، کدام گزینه هدف تغذیه ای اصلی است و بر روی آن تأکید بیشتری وجود دارد؟","الف) تلاش برای پیشگیری از چاقی و حفظ رشد فیزی طبیعی","ب) کاهش درمان کالری برای جلوگیری از چاقی","ج) انجام رژیمهای سخت جهت کاهش وزن در صورت چاقی","د) کاهش وزن در صورت اضافه وزن","A","در نوجوانان هدف اصلی پیشگیری از چاقی و حفظ رشد طبیعی است"
"مرحله 11",11,4,"بعد از شروع شدن قند خون، داروهای تجویز شده رفع و کم شدن آن را تضمین می‌کنند؟","الف) بله، داروها تجویز شده رفع و کم شدن آن را تضمین می‌کنند","ب) خیر، داروها تجویز شده رفع و کم شدن آن را تضمین نمی‌کنند","ج) پیگیری مرحله سکوم","د) یک مرحله سکوم","B","داروها تنها کمک به کنترل می‌کنند و درمان قطعی نیستند"
"مرحله 11",11,4,"چون دیابت صعب العلاج دیابت هست میتوان به جای آن استفاده کرد؟","الف) برای آینده بیمه پیش بینی کرد، داروهای تکمیلی کرد، داروهای دیابت عادت کرد، داروهای دیابت عادت کرد","ب) برای آینده بیمه پیش بینی کرد، داروهای تکمیلی کرد","ج) برای آینده بیمه پیش بینی کرد، داروهای تکمیلی کرد، داروهای دیابت عادت کرد","د) برای آینده بیمه پیش بینی کرد، داروهای تکمیلی کرد، داروهای دیابت عادت کرد، داروهای دیابت عادت کرد","A","مدیریت جامع دیابت شامل همه این موارد است"
"مرحله 11",11,4,"فعال در مصرف پروتئین","الف) فعال در مصرف پروتئین","ب) مصرف پروتئین","ج) پروتئین","د) امام مواد غذایی","C","پروتئین جزء مهمی از رژیم غذایی دیابتی‌ها است"
"مرحله 11",11,4,"نوع دیابت کدام است؟","الف) دیابت کودکان - دیابت بزرگسالان - دیابت سالمندان","ب) دیابت نوع 1 - دیابت نوع 2 - دیابت بارداری","ج) دیابت ساده - دیابت پیچیده","د) دیابت عصبی - دیابت غدد","B","انواع اصلی دیابت شامل نوع 1، نوع 2 و دیابت بارداری است"
"مرحله 11",11,4,"کدام گزینه شامل رژیم غذایی سالم برای پیشگیری از دیابت نمی‌شود؟","الف) علت کم بودن تصمیم شده","ب) رژیم غذایی از سبزیجات پذیر","ج) بهتر از توصیفات های حاوی شکر","د) استفاده از روغن های حاوی شکر","D","استفاده از روغن‌های حاوی شکر برای دیابتی‌ها مضر است"
"مرحله 11",11,4,"بهترین نوع ورزش برای افراد دیابتی کدام است؟","الف) پیاده روی","ب) دویدن آهسته","ج) دو چرخه سواری","د) همه موارد فوق","D","همه این ورزش‌ها برای دیابتی‌ها مفید هستند"
"مرحله 12",12,4,"نوع دیابت کدام است؟","الف) دیابت کودکان - دیابت بزرگسالان - دیابت سالمندان","ب) دیابت نوع 1 - دیابت نوع 2 - دیابت بارداری","ج) دیابت ساده - دیابت پیچیده","د) دیابت عصبی - دیابت غدد","B","انواع اصلی دیابت شامل نوع 1، نوع 2 و دیابت بارداری است"
"مرحله 12",12,4,"چگونه دیابت در بدن ایجاد می‌گردد؟","الف) از طریق عدم تولید","ب) از طریق عدم تولید","ج) از طریق پنکراس","د) از طریق پنکراس","C","دیابت از طریق مشکل در پانکراس ایجاد می‌شود"
"مرحله 12",12,4,"نوع دیابت کدام است؟","الف) دیابت کودکان - دیابت بزرگسالان - دیابت سالمندان","ب) دیابت نوع 1 - دیابت نوع 2 - دیابت بارداری","ج) دیابت ساده - دیابت پیچیده","د) دیابت عصبی - دیابت غدد","B","انواع اصلی دیابت شامل نوع 1، نوع 2 و دیابت بارداری است"
"مرحله 12",12,4,"کدام گزینه هدف تغذیه‌ای اصلی است و بر روی آن تأکید بیشتری وجود دارد؟","الف) تلاش برای پیشگیری از چاقی و حفظ رشد فیزی طبیعی","ب) کاهش درمان کالری برای جلوگیری از چاقی","ج) انجام رژیمهای سخت جهت کاهش وزن در صورت چاقی","د) کاهش وزن در صورت اضافه وزن","A","پیشگیری از چاقی و حفظ رشد طبیعی اولویت اصلی است"
"مرحله 12",12,4,"کدام گزینه در مورد جمله \"افراد دیابتی باید قند خونشان را کنترل کنند\" صحیح است؟","الف) جمله صحیح است","ب) جمله غلط است","ج) جمله صحیح است","د) جمله غلط است","A","کنترل قند خون برای افراد دیابتی ضروری است"
"مرحله 12",12,4,"کدام گزینه در مورد جمله \"مصرف قند میوه، شهد، خوراک سالمی است\" صحیح است؟","الف) جمله صحیح است","ب) جمله غلط است","ج) جمله صحیح است","د) جمله غلط است","B","مصرف بیش از حد قند حتی از منابع طبیعی برای دیابتی‌ها مضر است"
"مرحله 12",12,4,"کدام گزینه در مورد جمله \"افراد دیابتی باید از رژیم غذایی خود به طور کامل حذف کنند\" صحیح است؟","الف) جمله صحیح است","ب) جمله غلط است","ج) جمله صحیح است","د) جمله غلط است","B","حذف کامل قند از رژیم غذایی ضروری نیست، کنترل مقدار مهم است"
"مرحله 13",13,4,"معرفی مکمل آ-3 در افراد دیابتی چه اثرات برای آنان دارد؟","الف) جری نمی گیرند خون و کنترل بد را کاهش می دهد","ب) جری نمی گیرند خون و کنترل بد را افزایش می دهد","ج) جری نمی گیرند خون را افزایش و کنترل بد را کاهش می دهد","د) جری نمی گیرند خون و کنترل بد را تغییر نمی دهد","A","مکمل امگا-3 می‌تواند کنترل قند خون را بهبود بخشد"
"مرحله 13",13,4,"اگر قند دیابتی نیاز به دریافت 80 گرم قند در وعده ناهار خود باشد، به نظر شما کدام گزینه این مقدار را تأمین می کند؟","الف) 2/5 کف دست نان سنگک + یک نان گوگرد مرغ + بیری خوردن آرد","ب) 2 عدد سیب درختی + 10 قاشق غذاخوری برنج + 90 گرم های گیاه + سیری خوردن آرد","ج) نیوان ناشتا گم چرب + 2 کف دست سیب درختی + یک عدد پرتقال + سیری خوردن آرد","د) 2 قاشق غذاخوری برنج + یک کف دست خوردن دال + 15 گرم غذا در بیماران دیابتی است؟","C","ترکیب مناسب کربوهیدرات‌ها برای کنترل قند خون"
"مرحله 13",13,4,"کدام گزینه راهکار مناسب برای کاهش قند خون بعد از صرف غذا در بیماران دیابتی است؟","الف) پیوری از رژیم غذایی معمول با در نظر گیری توزیع کربوهیدرات در وعده های غذایی","ب) پیوری از رژیم غذایی معمول با در نظر گیری توزیع کربوهیدرات در وعده های غذایی","ج) پیوری از رژیم غذایی معمول با در نظر گیری توزیع کربوهیدرات در وعده های غذایی","د) پیوری از رژیم غذایی معمول با در نظر گیری توزیع کربوهیدرات در وعده های غذایی","A","توزیع مناسب کربوهیدرات در وعده‌های غذایی مهم است"
"مرحله 13",13,4,"بیماری دیابتی به طور کلی دچار علائم تعریفی، افزایش ضربان قلب، لرز، تعریق، تحریک پذیری و کیفی شده است که این علائم نشان دهنده چیست؟","الف) دچار افزایش باگیل قند خون شده است","ب) دچار افزایش باگیل قند خون شده است","ج) کاهش بادی های خون نیز باقیمانده است","د) کاهش بادی های خون نیز باقیمانده است","C","این علائم نشانه کاهش قند خون (هیپوگلایسمی) است"
"مرحله 13",13,4,"در صورتیکه در زمان تشخیص، در دو نوبت تست تحمل قند دهانی 2 ساعته نتیجه 200 میلی گرم در دسی لیتر و بیشتر A باشد B باشد C باشد","الف) تشخیص دیابت قطعی است","ب) تشخیص دیابت قطعی نیست","ج) نیاز به تست های بیشتر دارد","د) نتیجه طبیعی است","A","نتیجه 200 میلی‌گرم در دسی‌لیتر و بیشتر در تست تحمل قند نشانه دیابت قطعی است"
"مرحله 13",13,4,"یک سیم کربوهیدرات، بخشی از غذا است که حاوی ............... گرم کربوهیدرات می باشد.","الف) 25","ب) 15","ج) 20","د) 10","B","یک سرویس کربوهیدرات حاوی 15 گرم کربوهیدرات است"
"مرحله 13",13,4,"معرفی کدام نوع آزمون در رژیم غذایی یک بیمار دیابتی، می تواند باعث کنترل بهتر قند خون وی شود؟","الف) رژیم درمانی","ب) رژیم درمانی","ج) رژیم درمانی","د) همراه با غذا","A","رژیم درمانی مناسب کلید کنترل قند خون است"
"مرحله 14",14,4,"وضع منظوری که در بیماران دیابتی قند خون بعد از صرف غذا (2 ساعت قبل از غذا) کدام مقدار باشد؟","الف) کمتر از 140","ب) کمتر از 180","ج) کمتر از 200","د) کمتر از 160","A","قند خون 2 ساعت بعد از غذا باید کمتر از 140 میلی‌گرم در دسی‌لیتر باشد"
"مرحله 14",14,4,"کدام مولکل های غذایی به دلیل خاصیتهای آنتی اکسیدانی و برای بیماران دیابتی قابل توصیه می باشند؟","الف) ویتامین های E و K و آهن","ب) ویتامین های A و B12","ج) ویتامین های E و C و سلنیوم","د) ویتامین های K و آهن","C","ویتامین‌های E و C و سلنیوم دارای خواص آنتی‌اکسیدانی هستند"
"مرحله 14",14,4,"فعالیت فیزیکی برای بیماران دیابتی قابل توصیه و برای بیماران دیابتی قابل توصیه می باشند؟","الف) آیروبیک","ب) آیروبیک سبک خون","ج) آیروبیک سبک خون","د) آیروبیک شریفی","A","فعالیت‌های آیروبیک برای دیابتی‌ها توصیه می‌شود"
"مرحله 14",14,4,"چگونه و تا چه اندازه کاهش وزن و پیشگیری از چاقی در زنان و مردان در جلوگیری از آسیب‌های آکسیداتیو و برای بیماران دیابتی قابل توصیه می باشند؟","الف) ویتامین های E و K و آهن","ب) ویتامین های A و B12","ج) ویتامین های E و C و سلنیوم","د) اسپیدولینا","C","ویتامین‌های E و C و سلنیوم برای پیشگیری از آسیب اکسیداتیو مفیدند"
"مرحله 14",14,4,"فعالیت فیزیکی برای کاهش قند خون در بیماران دیابتی چقدر مؤثر است؟","الف) خیلی مؤثر","ب) کمی مؤثر","ج) متوسط","د) بی‌تأثیر","A","فعالیت فیزیکی بسیار مؤثر در کاهش قند خون است"
"مرحله 14",14,4,"تعریف دیابت چیست؟","الف) به قندخون ناشتا بیشتر یا مساوی 100 گفته می شود.","ب) به قندخون ناشتا بیشتر یا مساوی 101 گفته می شود.","ج) به قندخون ناشتا بیشتر یا مساوی 120 گفته می شود.","د) به قندخون ناشتا بیشتر یا مساوی 126 گفته می شود.","D","دیابت با قند خون ناشتا 126 میلی‌گرم در دسی‌لیتر یا بیشتر تعریف می‌شود"
"مرحله 14",14,4,"بیماری دیابت به دلیل اختلال در ترشیح یا عملکرد کدام هورمون در بدن اتفاق می افتد؟","الف) انسولین","ب) هورمون رشد","ج) هورمون آدرنالین","د) هیچکدام","A","دیابت به دلیل اختلال در انسولین ایجاد می‌شود"
"مرحله 15",15,4,"قند خون ناشتا در چه محدوده ای باید پیش دیابت اطلاق می شود؟","الف) در محدوده 110-80","ب) در محدوده 90-120","ج) در محدوده 100-125","د) در محدوده 120-130","C","پیش دیابت با قند خون ناشتا 100-125 میلی‌گرم در دسی‌لیتر تعریف می‌شود"
"مرحله 15",15,4,"چگونه و تا کنترل کرد و از پیشرفت آن به دیابت جلوگیری کرد؟","الف) کنترل وزن","ب) رژیم غذایی سالم","ج) افزایش فعالیت فیزیکی","د) همه موارد صحیح است","D","همه این روش‌ها برای پیشگیری از دیابت مؤثرند"
"مرحله 15",15,4,"کدام گزینه جزء راه های کاهش خطر ابتلا به پیش دیابت یا دیابت با دیابت می باشد؟","الف) کنترل فشار خون","ب) کنترل چربی خون","ج) کنترل چربی خون","د) همه موارد صحیح است","D","کنترل فشار خون و چربی خون برای پیشگیری از دیابت مهم است"
"مرحله 15",15,4,"برای یک فرد جوان، چه میزان فعالیت فیزیکی برای کاهش وزن و پیشگیری از دیابت پیشنهاد می دهید؟","الف) حداقل 10 دقیقه در هفته","ب) حداقل 100 دقیقه در هفته","ج) حداقل 200 دقیقه در هفته","د) حداقل 250 دقیقه در هفته","C","حداقل 200 دقیقه فعالیت فیزیکی در هفته توصیه می‌شود"
"مرحله 15",15,4,"در مورد وعده غذایی فرد دیابتی، کدام بیانیه صحیح می باشد؟","الف) وعده غذایی فرد دیابتی کاملاً متفاوت از افراد عادی است","ب) رژیم غذایی سالم","ج) در مورد وعده غذایی فرد دیابتی، کدام بیانیه صحیح می باشد؟","د) همه موارد صحیح است","B","رژیم غذایی سالم برای همه افراد مناسب است"
"مرحله 15",15,4,"کدام گزینه در مورد جمله \"در مورد وعده غذایی فرد دیابتی، کدام بیانیه صحیح می باشد؟\" صحیح است؟","الف) جمله صحیح است","ب) جمله غلط است","ج) جمله صحیح است","د) جمله غلط است","A","این جمله صحیح است"
"مرحله 15",15,4,"کدام گزینه در مورد جمله \"در مورد وعده غذایی فرد دیابتی، کدام بیانیه صحیح می باشد؟\" صحیح است؟","الف) جمله صحیح است","ب) جمله غلط است","ج) جمله صحیح است","د) جمله غلط است","A","این جمله صحیح است"